Date;Year / Année;Month / Mois;Day / Jour;Date in fraction of year / Date en fraction de l'année;Daily total sunspot number / Nombre total de taches par jour;Daily standard deviation / Déviation standard quotidienne;Number of observations / Nombre d'observations;Definitive or provisional value / Valeur définitive ou provisoire;year_month
2020-11-29;2020;11;29;2020.911;94.0;8.0;18;0;2020/11
2020-11-30;2020;11;30;2020.914;85.0;5.6;14;0;2020/11
2020-01-02;2020;01;02;2020.004;12.0;0.7;25;1;2020/01
2020-01-05;2020;01;05;2020.012;14.0;1.3;27;1;2020/01
2020-01-06;2020;01;06;2020.015;7.0;0.5;24;1;2020/01
2020-01-09;2020;01;09;2020.023;15.0;1.3;27;1;2020/01
2020-01-10;2020;01;10;2020.026;4.0;1.6;10;1;2020/01
2020-01-13;2020;01;13;2020.034;0.0;0.0;31;1;2020/01
2020-01-16;2020;01;16;2020.042;0.0;0.0;36;1;2020/01
2020-01-19;2020;01;19;2020.051;0.0;0.0;40;1;2020/01
2020-01-20;2020;01;20;2020.053;0.0;0.0;25;1;2020/01
2020-01-27;2020;01;27;2020.072;14.0;0.9;17;1;2020/01
2020-01-31;2020;01;31;2020.083;12.0;0.7;30;1;2020/01
2020-02-02;2020;02;02;2020.089;0.0;0.0;27;1;2020/02
2020-02-04;2020;02;04;2020.094;0.0;0.0;29;1;2020/02
2020-02-11;2020;02;11;2020.113;0.0;0.0;39;1;2020/02
2020-02-13;2020;02;13;2020.119;0.0;0.0;38;1;2020/02
2020-02-15;2020;02;15;2020.124;0.0;0.0;36;1;2020/02
2020-02-19;2020;02;19;2020.135;0.0;0.0;38;1;2020/02
2020-02-20;2020;02;20;2020.138;0.0;0.0;31;1;2020/02
2020-02-21;2020;02;21;2020.141;0.0;0.0;38;1;2020/02
2020-02-25;2020;02;25;2020.152;0.0;0.0;28;1;2020/02
2020-02-27;2020;02;27;2020.157;0.0;0.0;32;1;2020/02
2020-02-29;2020;02;29;2020.163;0.0;0.0;30;1;2020/02
2020-03-01;2020;03;01;2020.165;0.0;0.0;42;1;2020/03
2020-03-04;2020;03;04;2020.173;0.0;0.0;29;1;2020/03
2020-03-12;2020;03;12;2020.195;0.0;0.0;41;1;2020/03
2020-03-13;2020;03;13;2020.198;0.0;0.0;37;1;2020/03
2020-03-16;2020;03;16;2020.206;0.0;0.0;49;1;2020/03
2020-03-19;2020;03;19;2020.214;0.0;0.0;40;1;2020/03
2020-03-20;2020;03;20;2020.217;0.0;0.0;25;1;2020/03
2020-03-21;2020;03;21;2020.22;0.0;0.0;44;1;2020/03
2020-03-27;2020;03;27;2020.236;0.0;0.0;49;1;2020/03
2020-03-31;2020;03;31;2020.247;11.0;0.7;34;1;2020/03
2020-04-03;2020;04;03;2020.255;13.0;0.8;33;1;2020/04
2020-04-08;2020;04;08;2020.269;0.0;0.0;53;1;2020/04
2020-04-11;2020;04;11;2020.277;0.0;0.0;53;1;2020/04
2020-04-12;2020;04;12;2020.28;0.0;0.0;44;1;2020/04
2020-04-14;2020;04;14;2020.286;0.0;0.0;49;1;2020/04
2020-04-19;2020;04;19;2020.299;0.0;0.0;42;1;2020/04
2020-04-21;2020;04;21;2020.305;0.0;0.0;45;1;2020/04
2020-04-27;2020;04;27;2020.321;26.0;1.8;26;1;2020/04
2020-04-29;2020;04;29;2020.327;24.0;0.9;21;1;2020/04
2020-04-30;2020;04;30;2020.329;20.0;1.7;25;1;2020/04
2020-05-01;2020;05;01;2020.332;4.0;0.9;15;1;2020/05
2020-05-02;2020;05;02;2020.335;0.0;0.0;47;1;2020/05
2020-05-04;2020;05;04;2020.34;0.0;0.0;44;1;2020/05
2020-05-08;2020;05;08;2020.351;0.0;0.0;47;1;2020/05
2020-05-13;2020;05;13;2020.365;0.0;0.0;40;1;2020/05
2020-05-18;2020;05;18;2020.378;0.0;0.0;50;1;2020/05
2020-05-22;2020;05;22;2020.389;0.0;0.0;40;1;2020/05
2020-05-25;2020;05;25;2020.398;0.0;0.0;43;1;2020/05
2020-05-27;2020;05;27;2020.403;0.0;0.0;50;1;2020/05
2020-05-29;2020;05;29;2020.408;0.0;0.0;56;1;2020/05
2020-05-30;2020;05;30;2020.411;0.0;0.0;44;1;2020/05
2020-06-04;2020;06;04;2020.425;11.0;0.8;37;1;2020/06
2020-06-06;2020;06;06;2020.43;16.0;1.0;35;1;2020/06
2020-06-08;2020;06;08;2020.436;16.0;1.5;34;1;2020/06
2020-06-09;2020;06;09;2020.439;14.0;1.1;30;1;2020/06
2020-06-11;2020;06;11;2020.444;11.0;0.8;39;1;2020/06
2020-06-14;2020;06;14;2020.452;11.0;0.4;31;1;2020/06
2020-06-18;2020;06;18;2020.463;0.0;0.0;45;1;2020/06
2020-06-23;2020;06;23;2020.477;0.0;0.0;55;1;2020/06
2020-06-24;2020;06;24;2020.48;0.0;0.0;52;1;2020/06
2020-06-26;2020;06;26;2020.485;6.0;0.4;24;1;2020/06
2020-06-28;2020;06;28;2020.49;0.0;0.0;36;1;2020/06
2020-06-30;2020;06;30;2020.496;0.0;0.0;43;1;2020/06
2020-07-11;2020;07;11;2020.526;0.0;0.0;42;0;2020/07
2020-07-13;2020;07;13;2020.531;0.0;0.0;47;0;2020/07
2020-07-14;2020;07;14;2020.534;0.0;0.0;35;0;2020/07
2020-07-19;2020;07;19;2020.548;0.0;0.0;45;0;2020/07
2020-07-21;2020;07;21;2020.553;6.0;0.1;27;0;2020/07
2020-07-22;2020;07;22;2020.556;11.0;0.1;44;0;2020/07
2020-07-24;2020;07;24;2020.561;11.0;0.4;46;0;2020/07
2020-07-25;2020;07;25;2020.564;11.0;0.2;42;0;2020/07
2020-07-31;2020;07;31;2020.581;22.0;0.8;39;0;2020/07
2020-08-05;2020;08;05;2020.594;13.0;0.7;50;0;2020/08
2020-08-08;2020;08;08;2020.602;12.0;0.5;35;0;2020/08
2020-08-09;2020;08;09;2020.605;13.0;0.8;39;0;2020/08
2020-08-10;2020;08;10;2020.608;13.0;0.6;35;0;2020/08
2020-08-11;2020;08;11;2020.611;12.0;0.8;49;0;2020/08
2020-08-12;2020;08;12;2020.613;17.0;1.2;25;0;2020/08
2020-08-14;2020;08;14;2020.619;5.0;1.2;21;0;2020/08
2020-08-21;2020;08;21;2020.638;3.0;0.3;12;0;2020/08
2020-08-28;2020;08;28;2020.657;0.0;0.0;35;0;2020/08
2020-08-31;2020;08;31;2020.665;0.0;0.0;36;0;2020/08
2020-09-10;2020;09;10;2020.693;0.0;0.0;41;0;2020/09
2020-09-12;2020;09;12;2020.698;0.0;0.0;37;0;2020/09
2020-09-14;2020;09;14;2020.704;2.0;0.1;11;0;2020/09
2020-09-18;2020;09;18;2020.714;0.0;0.0;41;0;2020/09
2020-09-19;2020;09;19;2020.717;0.0;0.0;42;0;2020/09
2020-09-24;2020;09;24;2020.731;6.0;2.6;15;0;2020/09
2020-10-03;2020;10;03;2020.755;0.0;0.0;30;0;2020/10
2020-10-05;2020;10;05;2020.761;0.0;0.0;31;0;2020/10
